Test name,Execution time,Result
STC_0806.smt2,180.039830800,cvc5 interrupted by SIGTERM.
STC_0561.smt2,180.037169200,cvc5 interrupted by SIGTERM.
STC_0077.smt2,180.043321000,cvc5 interrupted by SIGTERM.
STC_0309.smt2,180.034736700,cvc5 interrupted by SIGTERM.
STC_0807.smt2,180.039743200,cvc5 interrupted by SIGTERM.
STC_0562.smt2,180.035563700,cvc5 interrupted by SIGTERM.
STC_0078.smt2,180.037421800,cvc5 interrupted by SIGTERM.
STC_0310.smt2,180.036206700,cvc5 interrupted by SIGTERM.
STC_0808.smt2,180.039640500,cvc5 interrupted by SIGTERM.
STC_0563.smt2,180.035043600,cvc5 interrupted by SIGTERM.
STC_0079.smt2,180.038339900,cvc5 interrupted by SIGTERM.
STC_0311.smt2,180.035741300,cvc5 interrupted by SIGTERM.
STC_0080.smt2,66.448006400,sat
STC_0809.smt2,180.038878500,cvc5 interrupted by SIGTERM.
STC_0564.smt2,180.035916100,cvc5 interrupted by SIGTERM.
STC_0312.smt2,180.040322600,cvc5 interrupted by SIGTERM.
STC_0081.smt2,180.036476600,cvc5 interrupted by SIGTERM.
STC_0810.smt2,180.038534800,cvc5 interrupted by SIGTERM.
STC_0565.smt2,180.036306700,cvc5 interrupted by SIGTERM.
STC_0313.smt2,180.036183500,cvc5 interrupted by SIGTERM.
STC_0314.smt2,11.816137200,sat
STC_0082.smt2,180.034990600,cvc5 interrupted by SIGTERM.
STC_0811.smt2,180.036407700,cvc5 interrupted by SIGTERM.
STC_0566.smt2,180.036131000,cvc5 interrupted by SIGTERM.
STC_0315.smt2,180.045421500,cvc5 interrupted by SIGTERM.
STC_0083.smt2,180.040835900,cvc5 interrupted by SIGTERM.
STC_0316.smt2,13.869606900,sat
STC_0812.smt2,180.039175600,cvc5 interrupted by SIGTERM.
STC_0567.smt2,180.036720600,cvc5 interrupted by SIGTERM.
STC_0084.smt2,180.040984700,cvc5 interrupted by SIGTERM.
STC_0317.smt2,180.034442200,cvc5 interrupted by SIGTERM.
