Test name,Execution time,Result
aproveSMT1682483342197094972.smt2,180.037550900,cvc5 interrupted by SIGTERM.
aproveSMT1683649971378713743.smt2,180.047168300,cvc5 interrupted by SIGTERM.
aproveSMT1685429701709911596.smt2,180.045027100,cvc5 interrupted by SIGTERM.
aproveSMT1687255834442102506.smt2,6.362100300,sat
aproveSMT1694567211952786276.smt2,.080259400,sat
aproveSMT1696056098573172102.smt2,.077342100,sat
aproveSMT1696937418190827515.smt2,.072156800,sat
aproveSMT1697563446985587562.smt2,.056491400,sat
aproveSMT1697705555518566473.smt2,.061246400,sat
aproveSMT1700028870436976635.smt2,8.364842100,unsat
aproveSMT1704515351751905084.smt2,.073485700,sat
aproveSMT1705398915961754594.smt2,180.045114300,cvc5 interrupted by SIGTERM.
aproveSMT1709482801492808359.smt2,.089721200,sat
aproveSMT1711617913584684778.smt2,.071115200,sat
aproveSMT171175975508767855.smt2,.122390500,sat
aproveSMT1713177946507536090.smt2,180.052526400,cvc5 interrupted by SIGTERM.
aproveSMT172200405223484420.smt2,.068433400,sat
aproveSMT1724615972126073513.smt2,.773844500,sat
aproveSMT1725820872639741704.smt2,1.448406400,unsat
aproveSMT1728396015922476285.smt2,180.043357200,cvc5 interrupted by SIGTERM.
aproveSMT1735676597233097273.smt2,.076439200,sat
aproveSMT1738667431208030512.smt2,.438244300,unsat
aproveSMT1740983214503071791.smt2,.102649100,sat
aproveSMT1741424499531822568.smt2,.057100700,sat
aproveSMT174156337543845992.smt2,180.049154000,cvc5 interrupted by SIGTERM.
aproveSMT1747479424109945297.smt2,4.589290100,unsat
aproveSMT1750284694627347091.smt2,2.049875900,unsat
aproveSMT1752975938798302550.smt2,4.591265900,unsat
aproveSMT1754604117811901615.smt2,.180569000,unsat
aproveSMT1757155135601557622.smt2,.119274700,sat
aproveSMT1762851132686701632.smt2,.747207700,unsat
aproveSMT1765930706641374942.smt2,1.404439100,sat
aproveSMT1768500490663685642.smt2,.796696700,unsat
aproveSMT1770730594634952017.smt2,.087089100,sat
aproveSMT1777322512907612003.smt2,180.042108800,cvc5 interrupted by SIGTERM.
aproveSMT1779881271979836083.smt2,.063280400,sat
aproveSMT1783503320687046642.smt2,.837711600,unsat
aproveSMT178977268304429168.smt2,180.053743200,cvc5 interrupted by SIGTERM.
aproveSMT1790937070082021408.smt2,3.806000900,sat
aproveSMT1794145880067403233.smt2,180.029990500,cvc5 interrupted by SIGTERM.
aproveSMT1798202376881827828.smt2,.055746100,sat
aproveSMT1799186230733115040.smt2,1.616899400,unsat
aproveSMT1799686351648644182.smt2,.156244400,sat
aproveSMT1802082844053698751.smt2,1.523297000,unsat
aproveSMT180444191153863419.smt2,180.041152500,cvc5 interrupted by SIGTERM.
aproveSMT1810537700181250043.smt2,33.954710800,unsat
aproveSMT1813676864021281701.smt2,180.049082600,cvc5 interrupted by SIGTERM.
aproveSMT1814649182334283223.smt2,.163321100,sat
aproveSMT1822723419756879764.smt2,1.119732200,sat
aproveSMT1826332378088029491.smt2,.509363200,unsat
aproveSMT1826366838353424870.smt2,.303566100,unsat
aproveSMT1832939841447591359.smt2,.455406800,sat
aproveSMT1834216988929529060.smt2,.076774800,sat
aproveSMT1836198750076062555.smt2,180.041932200,cvc5 interrupted by SIGTERM.
aproveSMT1839246186440994117.smt2,180.042659500,cvc5 interrupted by SIGTERM.
aproveSMT1850329964250764876.smt2,.065614900,sat
aproveSMT1850337795300350182.smt2,180.040854900,cvc5 interrupted by SIGTERM.
aproveSMT1850808180746377437.smt2,.065843100,sat
aproveSMT1852401955408116617.smt2,.114410600,sat
aproveSMT1854459151542430345.smt2,.065480200,sat
aproveSMT1855776014026624497.smt2,.083037100,sat
aproveSMT185813161521293895.smt2,24.316267300,sat
aproveSMT185857169594433069.smt2,180.040382100,cvc5 interrupted by SIGTERM.
aproveSMT1861264030101834974.smt2,180.039161200,cvc5 interrupted by SIGTERM.
aproveSMT1863907909411133651.smt2,.164575000,sat
aproveSMT1867799095526883512.smt2,.063850400,sat
aproveSMT1869857692920079266.smt2,.064163300,sat
aproveSMT1870041707088237226.smt2,180.035973100,cvc5 interrupted by SIGTERM.
aproveSMT1870275770187993289.smt2,180.039807500,cvc5 interrupted by SIGTERM.
aproveSMT1871881823724796554.smt2,180.044557000,cvc5 interrupted by SIGTERM.
aproveSMT1871996713396507848.smt2,180.039132900,cvc5 interrupted by SIGTERM.
aproveSMT1874165513013660871.smt2,.574276400,unsat
aproveSMT1876337480387607689.smt2,180.046287700,cvc5 interrupted by SIGTERM.
aproveSMT18817844084034737.smt2,.104004100,sat
aproveSMT1884997914915663852.smt2,118.781919700,unsat
aproveSMT1891333027055652499.smt2,1.555776000,sat
aproveSMT1891643987125086214.smt2,.056827200,sat
aproveSMT1893610996602385108.smt2,180.038761000,cvc5 interrupted by SIGTERM.
aproveSMT1899084582005403528.smt2,.260696000,sat
aproveSMT1900831310481572281.smt2,.055268900,sat
aproveSMT1901896504511143320.smt2,.486992500,sat
aproveSMT1903085593453410231.smt2,.055938800,sat
aproveSMT1904205801033572938.smt2,180.031397100,cvc5 interrupted by SIGTERM.
aproveSMT1905891522022442372.smt2,.050428800,sat
aproveSMT1909899370567820557.smt2,.080357400,sat
aproveSMT191275437130012394.smt2,.048456800,sat
aproveSMT1915449864335098033.smt2,.048688700,sat
aproveSMT1918662598883852.smt2,180.030272300,cvc5 interrupted by SIGTERM.
aproveSMT1921934893170238498.smt2,.048394100,sat
aproveSMT1924471989358702753.smt2,.166621100,unsat
aproveSMT1925431407371080493.smt2,.078544100,sat
aproveSMT1932504877138431957.smt2,1.979065800,unsat
aproveSMT1935117728403271514.smt2,.231559800,unsat
aproveSMT1940736280721199357.smt2,180.027757100,cvc5 interrupted by SIGTERM.
aproveSMT1946006857087300269.smt2,.329903700,sat
aproveSMT1957380023642536551.smt2,.044572100,sat
aproveSMT1966152016913083942.smt2,1.487683500,unsat
aproveSMT1968356054097123237.smt2,150.093776800,unsat
aproveSMT1970412385768895017.smt2,.346848000,unsat
aproveSMT1974177102832544503.smt2,180.027470900,cvc5 interrupted by SIGTERM.
aproveSMT1981975583113919849.smt2,.102956500,unsat
aproveSMT1985461538337735884.smt2,.051005900,sat
aproveSMT1988989355889096288.smt2,5.672176000,sat
